# Design Points of Design of Experiments,,,,,,,,,,,,,,,,
# Custom,,,,,,,,,,,,,,,,
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,,,0,750,-750,,,,,,,,,,,
2,,,0,750,-1000,,,,,,,,,,,
3,,,0,750,-1250,,,,,,,,,,,
4,,,0,750,-1500,,,,,,,,,,,
5,,,0,1000,-750,,,,,,,,,,,
6,,,0,1000,-1000,,,,,,,,,,,
7,,,0,1000,-1250,,,,,,,,,,,
8,,,0,1000,-1500,,,,,,,,,,,
9,,,0,1250,-750,,,,,,,,,,,
10,,,0,1250,-1000,,,,,,,,,,,
11,,,0,1250,-1250,,,,,,,,,,,
12,,,0,1250,-1500,,,,,,,,,,,
13,,,0,1500,-750,,,,,,,,,,,
14,,,0,1500,-1000,,,,,,,,,,,
15,,,0,1500,-1250,,,,,,,,,,,
16,,,0,1500,-1500,,,,,,,,,,,
17,,,2.5,750,-750,,,,,,,,,,,
18,,,2.5,750,-1000,,,,,,,,,,,
19,,,2.5,750,-1250,,,,,,,,,,,
20,,,2.5,750,-1500,,,,,,,,,,,
21,,,2.5,1000,-750,,,,,,,,,,,
22,,,2.5,1000,-1000,,,,,,,,,,,
23,,,2.5,1000,-1250,,,,,,,,,,,
24,,,2.5,1000,-1500,,,,,,,,,,,
25,,,2.5,1250,-750,,,,,,,,,,,
26,,,2.5,1250,-1000,,,,,,,,,,,
27,,,2.5,1250,-1250,,,,,,,,,,,
28,,,2.5,1250,-1500,,,,,,,,,,,
29,,,2.5,1500,-750,,,,,,,,,,,
30,,,2.5,1500,-1000,,,,,,,,,,,
31,,,2.5,1500,-1250,,,,,,,,,,,
32,,,2.5,1500,-1500,,,,,,,,,,,
33,,,5,750,-750,,,,,,,,,,,
34,,,5,750,-1000,,,,,,,,,,,
35,,,5,750,-1250,,,,,,,,,,,
36,,,5,750,-1500,,,,,,,,,,,
37,,,5,1000,-750,,,,,,,,,,,
38,,,5,1000,-1000,,,,,,,,,,,
39,,,5,1000,-1250,,,,,,,,,,,
40,,,5,1000,-1500,,,,,,,,,,,
41,,,5,1250,-750,,,,,,,,,,,
42,,,5,1250,-1000,,,,,,,,,,,
43,,,5,1250,-1250,,,,,,,,,,,
44,,,5,1250,-1500,,,,,,,,,,,
45,,,5,1500,-750,,,,,,,,,,,
46,,,5,1500,-1000,,,,,,,,,,,
47,,,5,1500,-1250,,,,,,,,,,,
48,,,5,1500,-1500,,,,,,,,,,,
49,,,7.5,750,-750,,,,,,,,,,,
50,,,7.5,750,-1000,,,,,,,,,,,
51,,,7.5,750,-1250,,,,,,,,,,,
52,,,7.5,750,-1500,,,,,,,,,,,
53,,,7.5,1000,-750,,,,,,,,,,,
54,,,7.5,1000,-1000,,,,,,,,,,,
55,,,7.5,1000,-1250,,,,,,,,,,,
56,,,7.5,1000,-1500,,,,,,,,,,,
57,,,7.5,1250,-750,,,,,,,,,,,
58,,,7.5,1250,-1000,,,,,,,,,,,
59,,,7.5,1250,-1250,,,,,,,,,,,
60,,,7.5,1250,-1500,,,,,,,,,,,
61,,,7.5,1500,-750,,,,,,,,,,,
62,,,7.5,1500,-1000,,,,,,,,,,,
63,,,7.5,1500,-1250,,,,,,,,,,,
64,,,7.5,1500,-1500,,,,,,,,,,,
65,,,10,750,-750,,,,,,,,,,,
66,,,10,750,-1000,,,,,,,,,,,
67,,,10,750,-1250,,,,,,,,,,,
68,,,10,750,-1500,,,,,,,,,,,
69,,,10,1000,-750,,,,,,,,,,,
70,,,10,1000,-1000,,,,,,,,,,,
71,,,10,1000,-1250,,,,,,,,,,,
72,,,10,1000,-1500,,,,,,,,,,,
73,,,10,1250,-750,,,,,,,,,,,
74,,,10,1250,-1000,,,,,,,,,,,
75,,,10,1250,-1250,,,,,,,,,,,
76,,,10,1250,-1500,,,,,,,,,,,
77,,,10,1500,-750,,,,,,,,,,,
78,,,10,1500,-1000,,,,,,,,,,,
79,,,10,1500,-1250,,,,,,,,,,,
80,,,10,1500,-1500,,,,,,,,,,,
81,,,12.5,750,-750,,,,,,,,,,,
82,,,12.5,750,-1000,,,,,,,,,,,
83,,,12.5,750,-1250,,,,,,,,,,,
84,,,12.5,750,-1500,,,,,,,,,,,
85,,,12.5,1000,-750,,,,,,,,,,,
86,,,12.5,1000,-1000,,,,,,,,,,,
87,,,12.5,1000,-1250,,,,,,,,,,,
88,,,12.5,1000,-1500,,,,,,,,,,,
89,,,12.5,1250,-750,,,,,,,,,,,
90,,,12.5,1250,-1000,,,,,,,,,,,
91,,,12.5,1250,-1250,,,,,,,,,,,
92,,,12.5,1250,-1500,,,,,,,,,,,
93,,,12.5,1500,-750,,,,,,,,,,,
94,,,12.5,1500,-1000,,,,,,,,,,,
95,,,12.5,1500,-1250,,,,,,,,,,,
96,,,12.5,1500,-1500,,,,,,,,,,,
97,,,15,750,-750,,,,,,,,,,,
98,,,15,750,-1000,,,,,,,,,,,
99,,,15,750,-1250,,,,,,,,,,,
100,,,15,750,-1500,,,,,,,,,,,
101,,,15,1000,-750,,,,,,,,,,,
102,,,15,1000,-1000,,,,,,,,,,,
103,,,15,1000,-1250,,,,,,,,,,,
104,,,15,1000,-1500,,,,,,,,,,,
105,,,15,1250,-750,,,,,,,,,,,
106,,,15,1250,-1000,,,,,,,,,,,
107,,,15,1250,-1250,,,,,,,,,,,
108,,,15,1250,-1500,,,,,,,,,,,
109,,,15,1500,-750,,,,,,,,,,,
110,,,15,1500,-1000,,,,,,,,,,,
111,,,15,1500,-1250,,,,,,,,,,,
112,,,15,1500,-1500,,,,,,,,,,,
113,,,17.5,750,-750,,,,,,,,,,,
114,,,17.5,750,-1000,,,,,,,,,,,
115,,,17.5,750,-1250,,,,,,,,,,,
116,,,17.5,750,-1500,,,,,,,,,,,
117,,,17.5,1000,-750,,,,,,,,,,,
118,,,17.5,1000,-1000,,,,,,,,,,,
119,,,17.5,1000,-1250,,,,,,,,,,,
120,,,17.5,1000,-1500,,,,,,,,,,,
121,,,17.5,1250,-750,,,,,,,,,,,
122,,,17.5,1250,-1000,,,,,,,,,,,
123,,,17.5,1250,-1250,,,,,,,,,,,
124,,,17.5,1250,-1500,,,,,,,,,,,
125,,,17.5,1500,-750,,,,,,,,,,,
126,,,17.5,1500,-1000,,,,,,,,,,,
127,,,17.5,1500,-1250,,,,,,,,,,,
128,,,17.5,1500,-1500,,,,,,,,,,,
129,,,20,750,-750,,,,,,,,,,,
130,,,20,750,-1000,,,,,,,,,,,
131,,,20,750,-1250,,,,,,,,,,,
132,,,20,750,-1500,,,,,,,,,,,
133,,,20,1000,-750,,,,,,,,,,,
134,,,20,1000,-1000,,,,,,,,,,,
135,,,20,1000,-1250,,,,,,,,,,,
136,,,20,1000,-1500,,,,,,,,,,,
137,,,20,1250,-750,,,,,,,,,,,
138,,,20,1250,-1000,,,,,,,,,,,
139,,,20,1250,-1250,,,,,,,,,,,
140,,,20,1250,-1500,,,,,,,,,,,
141,,,20,1500,-750,,,,,,,,,,,
142,,,20,1500,-1000,,,,,,,,,,,
143,,,20,1500,-1250,,,,,,,,,,,
144,,,20,1500,-1500,,,,,,,,,,,
145,,,22.5,750,-750,,,,,,,,,,,
146,,,22.5,750,-1000,,,,,,,,,,,
147,,,22.5,750,-1250,,,,,,,,,,,
148,,,22.5,750,-1500,,,,,,,,,,,
149,,,22.5,1000,-750,,,,,,,,,,,
150,,,22.5,1000,-1000,,,,,,,,,,,
151,,,22.5,1000,-1250,,,,,,,,,,,
152,,,22.5,1000,-1500,,,,,,,,,,,
153,,,22.5,1250,-750,,,,,,,,,,,
154,,,22.5,1250,-1000,,,,,,,,,,,
155,,,22.5,1250,-1250,,,,,,,,,,,
156,,,22.5,1250,-1500,,,,,,,,,,,
157,,,22.5,1500,-750,,,,,,,,,,,
158,,,22.5,1500,-1000,,,,,,,,,,,
159,,,22.5,1500,-1250,,,,,,,,,,,
160,,,22.5,1500,-1500,,,,,,,,,,,
161,,,25,750,-750,,,,,,,,,,,
162,,,25,750,-1000,,,,,,,,,,,
163,,,25,750,-1250,,,,,,,,,,,
164,,,25,750,-1500,,,,,,,,,,,
165,,,25,1000,-750,,,,,,,,,,,
166,,,25,1000,-1000,,,,,,,,,,,
167,,,25,1000,-1250,,,,,,,,,,,
168,,,25,1000,-1500,,,,,,,,,,,
169,,,25,1250,-750,,,,,,,,,,,
170,,,25,1250,-1000,,,,,,,,,,,
171,,,25,1250,-1250,,,,,,,,,,,
172,,,25,1250,-1500,,,,,,,,,,,
173,,,25,1500,-750,,,,,,,,,,,
174,,,25,1500,-1000,,,,,,,,,,,
175,,,25,1500,-1250,,,,,,,,,,,
176,,,25,1500,-1500,,,,,,,,,,,
177,,,27.5,750,-750,,,,,,,,,,,
178,,,27.5,750,-1000,,,,,,,,,,,
179,,,27.5,750,-1250,,,,,,,,,,,
180,,,27.5,750,-1500,,,,,,,,,,,
181,,,27.5,1000,-750,,,,,,,,,,,
182,,,27.5,1000,-1000,,,,,,,,,,,
183,,,27.5,1000,-1250,,,,,,,,,,,
184,,,27.5,1000,-1500,,,,,,,,,,,
185,,,27.5,1250,-750,,,,,,,,,,,
186,,,27.5,1250,-1000,,,,,,,,,,,
187,,,27.5,1250,-1250,,,,,,,,,,,
188,,,27.5,1250,-1500,,,,,,,,,,,
189,,,27.5,1500,-750,,,,,,,,,,,
190,,,27.5,1500,-1000,,,,,,,,,,,
191,,,27.5,1500,-1250,,,,,,,,,,,
192,,,27.5,1500,-1500,,,,,,,,,,,
